Name,Shape,Start,Count,Constant Shape,Time,Selection Size,SizeofVariable,ShapeID,Steps,StepStart,BlockID,OrderKey,OrderOrder
atoms,32000 5,8000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,8000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,16000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,24000 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 33,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 34,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 35,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 36,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 ,"
atoms,32000 5,0 0,8000 5,False,18: 39: 37,40000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 7 8 9 10 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 33,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 33,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 33,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 33,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 34,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 34,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 ,"
atoms,32000 8,8000 0,8000 8,False,18: 39: 34,64000,8,ShapeID::GlobalArray,0,0,0,atoms Order,"0 1 2 3 4 5 6 ,"
